match_hash,tourney_name,tourney_date,is_hard,is_clay,is_grass,is_bo5,p1_name,p2_name,p1_height,p1_lefty,p1_age,p1_home,p1_rating,p1_dev,p1_surface_rating,p1_surface_dev,p1_recent_rating,p1_w,p1_l,p1_surface_w,p1_surface_l,p1_inactive_days,p2_height,p2_lefty,p2_age,p2_home,p2_rating,p2_dev,p2_surface_rating,p2_surface_dev,p2_recent_rating,p2_w,p2_l,p2_surface_w,p2_surface_l,p2_inactive_days,p1_win,p1_odds,p2_odds
2020Aev23Cet811584638,Doha,20200106,1,0,0,0,Andrey Rublev,Corentin Moutet,188,0,22.2,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,178,1,20.7,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,1.25,4.5
2020Cet81Ska156381955,Doha,20200106,1,0,0,0,Corentin Moutet,Stan Wawrinka,178,1,20.7,0,1337.6891050238826,290.3189646747521,1337.6891050238826,290.3189646747521,1337.6891050238826,0,1,0,1,0,183,0,34.7,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,4.3,1.26
2020Aev23Mic621584881,Doha,20200106,1,0,0,0,Andrey Rublev,Miomir Kecmanovic,188,0,22.2,0,1662.3108949761174,290.3189646747521,1662.3108949761174,290.3189646747521,1662.3108949761174,1,0,1,0,0,183,0,20.3,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,1.63,2.44
2020Ska15Ane581955905,Doha,20200106,1,0,0,0,Stan Wawrinka,Aljaz Bedene,183,0,34.7,0,1268.1150950553629,286.9272134993429,1268.1150950553629,286.9272134993429,1268.1150950553629,0,1,0,1,0,181,0,30.4,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,1.35,3.6
2020Cet81Fco496381025,Doha,20200106,1,0,0,0,Corentin Moutet,Fernando Verdasco,178,1,20.7,0,1502.5491518243232,256.3451785990187,1502.5491518243232,256.3451785990187,1500.0,1,1,1,1,0,188,1,36.1,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,2.56,1.59
2020Mic62Mcs70881790,Doha,20200106,1,0,0,0,Marton Fucsovics,Miomir Kecmanovic,188,0,27.9,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,183,0,20.3,0,1383.3580797572,286.9272066273942,1383.3580797572,286.9272066273942,1383.3580797572,0,1,0,1,0,0,2.34,1.69
2020Aev23Prt651584840,Doha,20200106,1,0,0,0,Andrey Rublev,Pierre Hugues Herbert,188,0,22.2,0,1750.5421120164503,256.3451719903071,1750.5421120164503,256.3451719903071,1747.3180832445362,2,0,2,0,0,188,0,28.8,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,1.32,3.79
2020Ska15Jdy541955920,Doha,20200106,1,0,0,0,Jeremy Chardy,Stan Wawrinka,188,0,32.8,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,183,0,34.7,0,1448.043836793613,256.59708405618204,1448.043836793613,256.59708405618204,1443.8106592394,1,1,1,1,0,0,3.08,1.43
2020Ane58Aik55905919,Doha,20200106,1,0,0,0,Aljaz Bedene,Alexander Bublik,181,0,30.4,0,1235.8771567062493,291.8651496571961,1235.8771567062493,291.8651496571961,1235.8771567062493,0,1,0,1,0,196,0,22.5,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,1.83,2.09
2020Cet81Mic326381305,Doha,20200106,1,0,0,0,Milos Raonic,Corentin Moutet,196,0,29.0,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,178,1,20.7,0,1603.93455168335,230.0159066234488,1603.93455168335,230.0159066234488,1599.875263513342,2,1,2,1,0,0,1.47,2.9
2020Fco49Fic4010251148,Doha,20200106,1,0,0,0,Fernando Verdasco,Filip Krajinovic,188,1,36.1,0,1331.0618070548746,275.86130044209125,1331.0618070548746,275.86130044209125,1331.0618070548746,0,1,0,1,0,185,0,27.8,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,2.4,1.65
2020Mcs70Cel279790144,Doha,20200106,1,0,0,0,Cem Ilkel,Marton Fucsovics,185,0,24.3,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,188,0,27.9,0,1286.922312387762,283.7881184993834,1286.922312387762,283.7881184993834,1286.922312387762,0,1,0,1,0,0,4.34,1.26
